Image,Label
dataset/train/0.png,9
dataset/train/1.png,0
dataset/train/2.png,0
dataset/train/3.png,3
dataset/train/4.png,0
dataset/train/5.png,2
dataset/train/6.png,7
dataset/train/7.png,2
dataset/train/8.png,5
dataset/train/9.png,5
dataset/train/10.png,0
dataset/train/11.png,9
dataset/train/12.png,5
dataset/train/13.png,5
dataset/train/14.png,7
dataset/train/15.png,9
dataset/train/16.png,1
dataset/train/17.png,0
dataset/train/18.png,6
dataset/train/19.png,4
dataset/train/20.png,3
dataset/train/21.png,1
dataset/train/22.png,4
dataset/train/23.png,8
dataset/train/24.png,4
dataset/train/25.png,3
dataset/train/26.png,0
dataset/train/27.png,2
dataset/train/28.png,4
dataset/train/29.png,4
dataset/train/30.png,5
dataset/train/31.png,3
dataset/train/32.png,6
dataset/train/33.png,6
dataset/train/34.png,0
dataset/train/35.png,8
dataset/train/36.png,5
dataset/train/37.png,2
dataset/train/38.png,1
dataset/train/39.png,6
dataset/train/40.png,6
dataset/train/41.png,7
dataset/train/42.png,9
dataset/train/43.png,5
dataset/train/44.png,9
dataset/train/45.png,2
dataset/train/46.png,7
dataset/train/47.png,3
dataset/train/48.png,0
dataset/train/49.png,3
dataset/train/50.png,3
dataset/train/51.png,3
dataset/train/52.png,7
dataset/train/53.png,2
dataset/train/54.png,2
dataset/train/55.png,6
dataset/train/56.png,6
dataset/train/57.png,8
dataset/train/58.png,3
dataset/train/59.png,3
dataset/train/60.png,5
dataset/train/61.png,0
dataset/train/62.png,5
dataset/train/63.png,5
dataset/train/64.png,0
dataset/train/65.png,2
dataset/train/66.png,0
dataset/train/67.png,0
dataset/train/68.png,4
dataset/train/69.png,1
dataset/train/70.png,3
dataset/train/71.png,1
dataset/train/72.png,6
dataset/train/73.png,3
dataset/train/74.png,1
dataset/train/75.png,4
dataset/train/76.png,4
dataset/train/77.png,6
dataset/train/78.png,1
dataset/train/79.png,9
dataset/train/80.png,1
dataset/train/81.png,3
dataset/train/82.png,5
dataset/train/83.png,7
dataset/train/84.png,9
dataset/train/85.png,7
dataset/train/86.png,1
dataset/train/87.png,7
dataset/train/88.png,9
dataset/train/89.png,9
dataset/train/90.png,9
dataset/train/91.png,3
dataset/train/92.png,2
dataset/train/93.png,9
dataset/train/94.png,3
dataset/train/95.png,6
dataset/train/96.png,4
dataset/train/97.png,1
dataset/train/98.png,1
dataset/train/99.png,8
dataset/train/100.png,8
dataset/train/101.png,0
dataset/train/102.png,1
dataset/train/103.png,1
dataset/train/104.png,6
dataset/train/105.png,8
dataset/train/106.png,1
dataset/train/107.png,9
dataset/train/108.png,7
dataset/train/109.png,8
dataset/train/110.png,8
dataset/train/111.png,9
dataset/train/112.png,6
dataset/train/113.png,6
dataset/train/114.png,3
dataset/train/115.png,1
dataset/train/116.png,5
dataset/train/117.png,4
dataset/train/118.png,6
dataset/train/119.png,7
dataset/train/120.png,5
dataset/train/121.png,5
dataset/train/122.png,9
dataset/train/123.png,2
dataset/train/124.png,2
dataset/train/125.png,2
dataset/train/126.png,7
dataset/train/127.png,6
dataset/train/128.png,4
dataset/train/129.png,1
dataset/train/130.png,8
dataset/train/131.png,7
dataset/train/132.png,7
dataset/train/133.png,5
dataset/train/134.png,4
dataset/train/135.png,2
dataset/train/136.png,9
dataset/train/137.png,1
dataset/train/138.png,7
dataset/train/139.png,4
dataset/train/140.png,6
dataset/train/141.png,9
dataset/train/142.png,7
dataset/train/143.png,1
dataset/train/144.png,8
dataset/train/145.png,7
dataset/train/146.png,1
dataset/train/147.png,2
dataset/train/148.png,8
dataset/train/149.png,0
dataset/train/150.png,9
dataset/train/151.png,1
dataset/train/152.png,8
dataset/train/153.png,7
dataset/train/154.png,0
dataset/train/155.png,5
dataset/train/156.png,8
dataset/train/157.png,6
dataset/train/158.png,7
dataset/train/159.png,2
dataset/train/160.png,0
dataset/train/161.png,8
dataset/train/162.png,7
dataset/train/163.png,1
dataset/train/164.png,6
dataset/train/165.png,2
dataset/train/166.png,1
dataset/train/167.png,9
dataset/train/168.png,6
dataset/train/169.png,0
dataset/train/170.png,1
dataset/train/171.png,0
dataset/train/172.png,5
dataset/train/173.png,5
dataset/train/174.png,1
dataset/train/175.png,7
